,Spesies,A.CAPAS_DEL_CORTEX,A.CAPA_INTERNA_DEL_CORTEX,A.CORTEX,A.CORTEX_FIBROSO,A.CORTEX_SOLO_DE_ESPICULAS_TANGENCIALES,A.CUERPOS_EXTRANOS_EN_EL_CORTEX,A.GROSOR_DEL_CORTEX,A.HACES_DE_ESPICULAS_PRINCIPALES_EN_POMPON_EN_EL_CORTEX,A.TILOSTILOS_ADICIONALES_COANOSOMA,B.NUMERO_DE_TIPOS_DE_MEGASCLERAS,C.TIPO_ESPICULA_PRINCIPAL_DIACTINA_TUBERCULADA,C.TIPO_ESPICULA_PRINCIPAL_ESTILO,C.TIPO_ESPICULA_PRINCIPAL_ESTILOS_2_TAMANOS,C.TIPO_ESPICULA_PRINCIPAL_ESTILO_TILOSTILO,C.TIPO_ESPICULA_PRINCIPAL_ESTRONGILOXA,C.TIPO_ESPICULA_PRINCIPAL_OXAS,C.TIPO_ESPICULA_PRINCIPAL_TILOSTILO,D.ESPICULA_PRINCIPAL_ESTILO,D.ESPICULA_PRINCIPAL_TILOSTILO,D.FORMA_BASE_TILOSTILO_PRINCIPAL,E.DISPOSICION_MEGASCLERAS_ECTOSOMICAS_EN_EL_ECTOSOMA,E.FORMA_BASE_TILOSTILO_ECTOSOMICO,E.FORMA_MEGASCLERA_ECTOSOMICA,E.TIPO_MEGASCLERA_ECTOSOMICA,F.TIPO_DE_EXOSTILO,G.FORMA_MEGASCLERA_INTERMEDIARIA,G.TIPO_MEGASCLERA_INTERMEDIARIA,H.LONGITUD_MEGASCLERAS,I.MICROSCLERAS,I.TIPO_MICROSCLERA,J.ASTER,J.DIAMETRO_ESFERASTER,J.TIPO_DE_ASTER,J.TIPO_DE_DIPLASTER,J.TIPO_DE_ESFERASTER,K.FORMA_FINAL,L.NUMERO_DE_PAPILAS,L.PAPILAS,M.COLOR,N.SUPERFICIE,O.DISPOSICION_ESPICULAR_ESQUELETO,P.ALOJA_CANGREJO_ERMITANO,P.PERFORANTE,P.PSEUDORAICES,P.SUSTRATO
13,POLYMASTIA_AGGLUTINARIS,2,3,1,0,0,1,3,0,3,3,0,1,0,0,0,0,0,2,0,0,1,1,3,2,0,2,1,3,0,0,0,0,0,0,0,2,2,1,3,4,5,0,0,0,3
16,POLYMASTIA_ECTOFIBROSA,2,3,1,1,0,0,2,0,1,3,0,0,0,1,0,0,0,2,3,0,0,1,3,2,0,1,3,2,0,0,0,0,0,0,0,5,2,1,3,6,5,0,0,0,3
17,POLYMASTIA_FUSCA,2,3,1,0,0,0,3,0,2,3,0,0,0,1,0,0,0,2,3,2,1,1,1,2,0,2,2,2,0,0,0,0,0,0,0,6,4,1,3,4,5,0,0,0,3
20,POLYMASTIA_INFLATA,2,3,1,0,0,0,3,0,4,3,0,0,0,0,1,0,0,0,0,0,1,1,2,2,0,1,3,2,0,0,0,0,0,0,0,2,2,1,1,7,5,0,0,0,3
21,POLYMASTIA_INFRAPILOSA,2,3,1,0,0,0,4,0,2,3,0,0,0,1,0,0,0,1,2,2,1,1,2,2,0,1,3,3,0,0,0,0,0,0,0,2,3,1,1,6,5,0,0,0,3
24,POLYMASTIA_MAMMILLARIS,2,3,1,0,0,0,2,0,3,3,0,0,0,0,0,0,1,0,3,2,1,1,3,2,0,2,3,3,0,0,0,0,0,0,0,2,3,1,1,7,5,0,0,0,3
25,POLYMASTIA_MARTAE,2,3,1,0,0,0,2,0,2,3,0,0,0,1,0,0,0,3,4,2,0,2,1,2,0,2,3,3,0,0,0,0,0,0,0,6,2,1,3,7,5,0,0,0,3
27,POLYMASTIA_RADIOSA,1,0,1,0,0,0,3,1,2,3,0,0,0,0,0,0,1,0,3,2,1,1,1,2,0,2,3,2,0,0,0,0,0,0,0,5,1,1,3,7,5,0,0,0,3
29,POLYMASTIA_SPINULA,2,3,1,0,0,0,2,1,3,3,0,0,0,0,1,0,0,0,0,0,1,1,1,2,0,1,3,2,0,0,0,0,0,0,0,2,2,1,1,0,5,0,0,0,3
30,POLYMASTIA_TENAX,2,2,1,0,0,0,4,0,4,3,0,0,0,0,0,0,1,0,2,2,1,1,3,2,0,1,3,3,0,0,0,0,0,0,0,2,2,1,3,4,5,0,0,0,3
31,POLYMASTIA_TISSIERI,2,3,1,0,0,0,2,0,1,3,0,0,0,1,0,0,0,3,4,2,1,1,1,2,5,2,3,3,0,0,0,0,0,0,0,4,2,1,3,6,5,0,0,0,3
33,PROSUBERITES_EPIPHYTUM,0,0,0,2,2,2,0,0,0,1,0,0,0,0,0,0,1,0,3,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,0,0,3,4,3,0,0,0,3
34,PROSUBERITES_LONGISPINA,0,0,0,2,2,2,0,0,0,1,0,0,0,0,0,0,1,0,3,2,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,5,0,0,1,3,3,0,0,0,3
35,PROSUBERITES_RUGOSUS,0,0,0,2,2,2,0,0,0,1,0,0,0,0,0,0,1,0,3,2,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,5,0,0,3,4,3,0,0,0,3
37,PSEUDOSUBERITES_HYALINUS,0,0,0,2,2,2,0,0,0,1,0,0,0,0,0,0,1,0,2,2,3,2,1,2,0,0,0,3,0,0,0,0,0,0,0,6,0,0,1,4,2,0,0,0,3
38,PSEUDOSUBERITES_SULFUREUS,0,0,0,2,2,2,0,0,0,1,0,0,0,0,0,0,1,0,2,2,3,2,1,2,0,0,0,2,0,0,0,0,0,0,0,6,0,0,1,4,2,0,0,0,3
40,QUASILINA_INTERMEDIA,1,1,1,0,0,0,2,0,2,3,0,0,0,0,0,0,1,0,2,2,0,1,1,2,0,2,3,2,0,0,0,0,0,0,0,7,1,1,3,0,7,0,0,0,3
41,QUASILINA_RICHARDII,3,1,1,0,0,0,2,0,1,2,0,0,0,1,0,0,0,1,2,2,1,1,1,2,0,0,0,3,0,0,0,0,0,0,0,7,1,1,3,0,7,0,0,0,3
42,RHIZAXINELLA_BISETA,0,0,0,2,2,2,0,0,0,2,0,0,0,0,0,0,1,0,2,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,7,0,0,1,3,1,0,0,1,3
43,RHIZAXINELLA_ELONGATA,0,0,0,2,2,2,0,0,0,2,0,1,1,0,0,0,1,2,3,2,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,7,0,0,3,3,1,0,0,1,2
44,RHIZAXINELLA_PYRIFERA,0,0,0,2,2,2,0,0,0,2,0,0,0,0,0,0,1,0,3,2,0,0,0,0,0,0,0,3,1,2,0,0,0,0,0,8,0,0,1,5,1,0,0,0,1
45,RHIZAXINELLA_UNISETA,0,0,0,2,2,2,0,0,0,1,0,0,0,0,0,0,1,0,2,2,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,7,0,0,1,3,1,0,0,1,3
47,SPHAEROTYLUS_ANTARCTICUS,2,3,1,0,0,0,3,0,3,3,0,0,0,1,0,0,1,2,3,2,1,1,1,2,3,2,3,3,0,0,0,0,0,0,0,4,2,1,1,7,5,0,0,0,3
48,SPHAEROTYLUS_CAPITATUS,2,3,1,0,0,0,3,0,3,3,0,0,0,0,0,0,1,0,4,2,1,1,1,2,3,2,3,3,0,0,0,0,0,0,0,3,2,1,1,7,5,0,0,0,3
49,SPINULARIA_SPINULARIA,1,0,1,0,0,0,2,0,0,2,0,0,0,0,0,0,1,0,2,2,1,1,2,2,0,0,0,3,1,2,0,0,0,0,0,3,0,0,3,3,5,0,0,0,3
50,SPIRASTRELLA_CUNCTATRIX,0,0,0,2,2,2,0,0,0,1,0,0,0,0,0,0,1,0,3,2,0,0,0,0,0,0,0,1,1,1,1,0,4,0,0,5,0,0,3,5,2,0,0,0,3
51,SPIRASTRELLA_MINAX,0,0,0,2,2,2,0,0,0,1,0,0,0,0,0,0,1,0,3,2,0,0,0,0,0,0,0,2,1,1,1,0,4,0,0,5,0,0,3,5,2,0,0,0,3
53,SUBERITES_CAMINATUS,1,0,1,0,0,0,3,0,0,2,0,0,0,0,0,0,1,0,3,2,1,1,2,2,0,0,0,3,0,0,0,0,0,0,0,4,2,1,3,4,6,0,0,0,3
54,SUBERITES_CARNOSUS_V.INCRUSTANS,0,0,0,2,2,2,0,0,0,1,0,0,0,0,0,0,1,0,3,3,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,5,0,0,1,0,6,0,0,0,3
55,SUBERITES_CARNOSUS_V.RAMOSUS,0,0,0,2,2,2,0,0,0,1,0,0,0,0,0,0,1,0,3,3,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,9,0,0,1,0,1,0,0,0,3
56,SUBERITES_CARNOSUS_V.TYPICUS,0,0,0,2,2,2,0,0,0,1,0,0,0,0,0,0,1,0,3,3,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,7,0,0,1,0,6,0,0,0,3
57,SUBERITES_DOMUNCULA,0,0,0,2,2,2,0,0,0,3,0,1,0,0,0,1,1,2,3,2,1,0,0,0,0,0,0,1,1,3,0,0,0,0,0,3,0,0,3,4,6,1,0,0,1
58,SUBERITES_FICUS,0,0,0,2,2,2,0,0,0,3,0,1,0,0,0,1,1,2,3,2,1,0,0,0,0,0,0,1,1,3,0,0,0,0,0,3,0,0,3,5,6,1,0,0,1
59,SUBERITES_GIBBOSICEPS,0,0,0,2,2,2,0,0,0,2,0,0,0,0,0,0,1,0,2,3,1,1,1,2,0,0,0,3,0,0,0,0,0,0,0,3,0,0,3,4,6,0,0,0,3
62,TERPIOS_FUGAX,0,0,0,2,2,2,0,0,0,1,0,0,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,0,0,2,4,2,0,0,0,3
63,TETHYA_AURANTIUM,2,2,1,1,0,0,4,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,1,4,6,0,1,3,0,0,3,1,5,0,0,0,3
64,TETHYA_CITRINA,1,2,1,0,0,0,4,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,1,4,3,0,1,3,0,0,3,1,5,0,0,0,3
66,TIMEA_HALLEZI,0,0,0,2,2,2,0,0,0,1,0,0,0,0,0,0,1,0,3,2,0,0,0,0,0,0,0,2,1,1,1,1,3,0,1,5,0,0,3,3,3,0,0,0,3
67,TIMEA_MIXTA,0,0,0,2,2,2,0,0,0,1,0,0,0,0,0,0,1,0,3,2,0,0,0,0,0,0,0,2,1,1,1,5,3,0,2,5,0,0,3,3,3,0,0,0,3
68,TIMEA_STELLATA,0,0,0,2,2,2,0,0,0,1,0,0,0,0,0,0,1,0,3,2,0,0,0,0,0,0,0,3,1,1,1,0,5,0,0,5,0,0,1,3,3,0,0,0,3
69,TIMEA_UNISTELLATA,0,0,0,2,2,2,0,0,0,1,0,0,0,0,0,0,1,0,3,2,0,0,0,0,0,0,0,1,1,1,1,2,3,0,1,5,0,0,3,4,3,0,0,0,3
71,TRICHOSTEMA_HEMISPHAERICUM,1,0,1,0,0,0,4,0,4,3,0,1,0,0,0,0,0,1,0,0,2,1,1,2,0,1,1,3,0,0,0,0,0,0,0,4,2,1,3,3,5,0,0,0,2
74,WEBERELLA_BURSA,2,3,1,1,0,0,3,0,4,2,0,0,0,0,0,0,1,0,2,2,1,1,1,2,0,0,0,1,0,0,0,0,0,0,0,3,2,1,3,0,6,0,0,0,3
75,WEBERELLA_VERRUCOSA,2,3,1,0,0,0,2,0,0,2,0,0,0,0,0,0,1,0,3,2,1,1,1,2,0,0,0,1,0,0,0,0,0,0,0,3,2,1,3,0,6,0,0,0,3
